asset_number,asset_description,lamp_type_lupvalue,lamp_rating_w,mounting_type_lupvalue,lat,lon,location
1539600,Feature Lighting - NewQuay Promenade between Doepel Way and Pearl River Road,13,35,Pole: Multiple Fixed,-37.815501925177486,144.93986829692807,"(-37.815501925177486, 144.93986829692807)"
1348419,Feature Lighting - Docklands,1,,Building Facade,-37.81694636983664,144.9431518366416,"(-37.81694636983664, 144.9431518366416)"
1503021,Feature Lighting - Southbank,,70,Guy Wire (Catenary),-37.82100477179036,144.96204785051864,"(-37.82100477179036, 144.96204785051864)"
1347007,Feature Lighting - Docklands,1,,Canopy,-37.8172821532254,144.95238180372806,"(-37.8172821532254, 144.95238180372806)"
1346476,Feature Lighting - Docklands,1,20,Bollard,-37.824075134373885,144.94739265347823,"(-37.824075134373885, 144.94739265347823)"
1544626,Feature Lighting - Swanston Street between Little Lonsdale Street and La Trobe Street,9,,Pole: Multiple Fixed,-37.81017462900949,144.96399156815858,"(-37.81017462900949, 144.96399156815858)"
1347609,Feature Lighting - Docklands,1,,Inground,-37.81550196081013,144.93986827325227,"(-37.81550196081013, 144.93986827325227)"
1539363,Feature Lighting - Newquay Promenade between Saint Mangos Lane and Aquitania Way,9,,Pole: Multiple Fixed,-37.814698622007896,144.94239892095842,"(-37.814698622007896, 144.94239892095842)"
1347932,Feature Lighting - Docklands,1,,Inground,-37.81500007188401,144.94112907282542,"(-37.81500007188401, 144.94112907282542)"
1544496,Feature Lighting - Birrarung Marr,9,,Pole: Multiple Fixed,-37.8195406186245,144.9746747234953,"(-37.8195406186245, 144.9746747234953)"
1348386,Feature Lighting - Docklands,1,35,Inground,-37.823820351805395,144.94782465661228,"(-37.823820351805395, 144.94782465661228)"
1542078,Feature Lighting - Arglye Square,1,50,Pole: Multiple Fixed,-37.80229156509493,144.96563494204452,"(-37.80229156509493, 144.96563494204452)"
1541569,Feature Lighting - Intersection of Lonsdale Street and Russell Street,13,14,Pole: Multiple Fixed,-37.81080958066092,144.96718257664364,"(-37.81080958066092, 144.96718257664364)"
1543117,Feature Lighting - Webb Bridge between North Wharf Road and River Esplanade,12,,Pole: Multiple Fixed,-37.82392419581476,144.94718350983484,"(-37.82392419581476, 144.94718350983484)"
1542246,Feature Lighting - Birrarung Marr,9,,Pole: Multiple Fixed,-37.818097063157346,144.9734580880657,"(-37.818097063157346, 144.9734580880657)"
1347957,Feature Lighting - Docklands,5,70,Inground,-37.82509440874105,144.94688273364338,"(-37.82509440874105, 144.94688273364338)"
1544755,Feature Lighting - Rakaia Way between Caravel Lane and Newquay Promenade,9,,Pole: Multiple Fixed,-37.81497938340984,144.94125187630152,"(-37.81497938340984, 144.94125187630152)"
1540914,Feature Lighting -,9,8,Pole: Multiple Fixed,-37.82432894572785,144.9472939967832,"(-37.82432894572785, 144.9472939967832)"
1539865,Feature Lighting - Caravel Lane between Rakaia Way and Aquitania Way,13,70,Pole: Multiple Fixed,-37.81386260242909,144.94224413213087,"(-37.81386260242909, 144.94224413213087)"
1347343,Feature Lighting - Docklands,1,50,Inground,-37.82508255742501,144.94698810690707,"(-37.82508255742501, 144.94698810690707)"
1542991,Feature Lighting - Webb Bridge between North Wharf Road and River Esplanade,12,,Pole: Multiple Fixed,-37.82321038972048,144.9472937584823,"(-37.82321038972048, 144.9472937584823)"
1539925,Feature Lighting - Harbour Esplanade between Bourke Street and La Trobe Street,13,70,Pole: Multiple Fixed,-37.81890527384328,144.9462844017697,"(-37.81890527384328, 144.9462844017697)"
1542332,Feature Lighting - Swanston Street between Little Lonsdale Street and La Trobe Street,9,,Pole: Multiple Fixed,-37.809826057009076,144.9638136092921,"(-37.809826057009076, 144.9638136092921)"
1543344,Feature Lighting -,,,,-37.82500783754185,144.94706489962556,"(-37.82500783754185, 144.94706489962556)"
1544868,Feature Lighting -,13,35,Bridge Beam,-37.823952098618236,144.94737634203398,"(-37.823952098618236, 144.94737634203398)"
1541191,Feature Lighting - Point Park,9,,Pole: Multiple Fixed,-37.823127654258315,144.9418786167901,"(-37.823127654258315, 144.9418786167901)"
1543270,Feature Lighting - Australian Wharf between Webb Bridge and Collins Landing,9,,Pole: Multiple Fixed,-37.82214600507297,144.94457901632688,"(-37.82214600507297, 144.94457901632688)"
1347364,Feature Lighting - Docklands,5,35,Inground,-37.81821665747254,144.94588023571202,"(-37.81821665747254, 144.94588023571202)"
1541576,Feature Lighting - Intersection of Lonsdale Street and Russell Street,13,14,Pole: Multiple Fixed,-37.810780973457206,144.96722280976968,"(-37.810780973457206, 144.96722280976968)"
1541272,Feature Lighting - Little Bourke Street between Exhibition Street and Russell Street,13,14,Pole: Multiple Fixed,-37.81177374246804,144.96783033010945,"(-37.81177374246804, 144.96783033010945)"
