Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,Location
2017,66,108547,108547,199-203 Russell Street,Melbourne (CBD),Exford Hotel,300,"(-37.81179179, 144.9673406)"
2017,218,106222,106222,270-276 Lygon Street,Carlton,University Hotel,111,"(-37.8005263, 144.9672432)"
2017,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,55,"(-37.8166033, 144.9655966)"
2017,1105,628712,628712,717-731 Collins Street,Docklands,Bar Nicional,75,"(-37.82068699, 144.9500934)"
2017,33,102124,102124,430-442 Collins Street,Melbourne (CBD),The Mug House,80,"(-37.81703239, 144.9597623)"
2017,1108,604125,604125,143-175 Harbour Esplanade,Docklands,Alumbra,690,"(-37.8165193, 144.9435654)"
2017,1103,558180,558180,122-148 Harbour Esplanade,Docklands,E J Whitten Bar,70,"(-37.81656591, 144.9475776)"
2017,46,105963,105963,196-212 Little Collins Street,Melbourne (CBD),Hairy Canary,50,"(-37.81384227, 144.9671568)"
2017,14,103950,103950,335-339 Flinders Lane,Melbourne (CBD),Bartronica,200,"(-37.81784765, 144.9632258)"
2017,266,106081,106081,27-31 Lygon Street,Carlton,The Curtin,350,"(-37.80619915, 144.9656988)"
2017,48,101109,101109,39-43 Bourke Street,Melbourne (CBD),Spleen Central,100,"(-37.81193572, 144.9720472)"
2017,16,103938,103938,187 Flinders Lane,Melbourne (CBD),The Adelphi Hotel,80,"(-37.81635789, 144.9683751)"
2017,204,101613,101613,377-391 Cardigan Street,Carlton,Clyde Hotel,239,"(-37.79725532, 144.9657541)"
2017,358,109829,109829,312-316 Victoria Street,North Melbourne,Victoria Hotel,130,"(-37.80563237, 144.9557051)"
2017,14,101099,101099,16-26 Bond Street,Melbourne (CBD),Bond Melbourne,500,"(-37.81814578, 144.9630575)"
2017,11,103993,103993,508-514 Flinders Street,Melbourne (CBD),Waterside Hotel,983,"(-37.820166, 144.9571505)"
2017,23,102099,102099,419-429 Collins Street,Melbourne (CBD),Ms Collins,850,"(-37.81752882, 144.9606531)"
2017,752,108653,110733,100 St Kilda Road,Southbank,the Barre,300,"(-37.82094188, 144.9682264)"
2017,66,105878,105878,242-244 Little Bourke Street,Melbourne (CBD),Shanghai Club,209,"(-37.81213633, 144.965603)"
2017,65,105875,105875,318-322 Little Bourke Street,Melbourne (CBD),Penny Blue,85,"(-37.81292437, 144.9631276)"
2017,57,101212,101212,152-158 Bourke Street,Melbourne (CBD),Charltons Entertainment Complex / Roxanne Bar,"1,500","(-37.81206119, 144.9685359)"
2017,808,110385,110385,174-184 City Road,Southbank,Rumour Restaurant Bar & Lounge,100,"(-37.82382188, 144.9618918)"
2017,375,103809,103809,1-3 Flemington Road,North Melbourne,Turf Club Hotel,629,"(-37.80130394, 144.9563792)"
2017,35,105919,105919,267 Little Collins Street,Melbourne (CBD),Bar Americano,10,"(-37.81483458, 144.9656034)"
2017,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Partyworld,500,"(-37.81073331, 144.9630189)"
2017,1110,620312,593737,23-37 Star Crescent,Docklands,Harbour Town Hotel,498,"(-37.81315031, 144.9378299)"
2017,96,606638,105490,124 La Trobe Street,Melbourne (CBD),Pearson and Murph'y Cafe,156,"(-37.80818365, 144.9645504)"
2017,55,101193,101193,338-352 Bourke Street,Melbourne (CBD),Alto Events,400,"(-37.81360425, 144.9632879)"
2017,17,103921,103921,91-93 Flinders Lane,Melbourne (CBD),Papa Goose / Mary Fortune Cocktail Bar,440,"(-37.81543506, 144.9712228)"
2017,207,106153,106153,331-335 Lygon Street,Carlton,Wolfs Lair,80,"(-37.7975082, 144.9671779)"
2017,66,109952,109952,7-9 Waratah Place,Melbourne (CBD),Manchuria,80,"(-37.81162502, 144.9669911)"
2017,57,101217,101217,124-128 Bourke Street,Melbourne (CBD),Welcome Stranger,350,"(-37.81207094, 144.9692645)"
2017,2530,616125,616125,25-27 Rankins Road,Kensington,Flemington & Kensington RSL Club,90,"(-37.78932218, 144.9321953)"
2017,64,515538,515538,4-6 Goldie Place,Melbourne (CBD),Paris Cat Jazz Club,120,"(-37.81351769, 144.9608287)"
2017,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Collins Quarter,290,"(-37.81393777, 144.9705847)"
2017,52,592048,592048,188-202 King Street,Melbourne (CBD),La Di Da,458,"(-37.81551353, 144.9556244)"
2017,48,103626,103626,114-122 Exhibition Street,Melbourne (CBD),European Bier Cafe,550,"(-37.81285806, 144.9711999)"
2017,35,105919,105919,267 Little Collins Street,Melbourne (CBD),Polepole Bar,100,"(-37.81483458, 144.9656034)"
2017,361,109842,109842,240-248 Victoria Street,North Melbourne,Central Club Hotel,150,"(-37.80591439, 144.9581264)"
2017,64,104659,104659,67-73 Hardware Lane,Melbourne (CBD),Charlie's Bar,143,"(-37.81323451, 144.960908)"
2017,17,103924,103924,107-109 Flinders Lane,Melbourne (CBD),Jack & Bones,230,"(-37.81560645, 144.9708344)"
2017,55,109284,109284,191-205 Swanston Street,Melbourne (CBD),Cocoon Bar,200,"(-37.81309229, 144.9649993)"
2017,14,104003,104003,2-8 Queen Street,Melbourne (CBD),Candela Nuevo,300,"(-37.81858716, 144.9627098)"
2017,806,110343,640947,27-45 Whiteman Street,Southbank,Kingpin Bowling Crown / Playtime,347,"(-37.82559096, 144.9583432)"
2017,66,105691,105691,209-211 Lonsdale Street,Melbourne (CBD),Boilermaker House,180,"(-37.8114331, 144.9662609)"
2017,43,108068,108068,111-129 Queen Street,Melbourne (CBD),CitiClub On Queen Hotel,940,"(-37.81581152, 144.9606367)"
2017,61,105308,105308,203-207 King Street,Melbourne (CBD),Bar Humbug,30,"(-37.81538904, 144.9549691)"
2017,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Ra,83,"(-37.81393777, 144.9705847)"
2017,131,108844,108844,1-5 Spencer Street,Docklands,Crown Plaza,60,"(-37.8226581, 144.9549939)"
2017,107,108561,108561,380-388 Russell Street,Melbourne (CBD),Blue Moon Bar,170,"(-37.80749583, 144.9660836)"
2017,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Locker Room Club Bar,500,"(-37.81656591, 144.9475776)"
2017,87,106057,106057,106 Little Lonsdale Street,Melbourne (CBD),Troika Bar,60,"(-37.8091536, 144.96859)"
2017,228,101450,101450,223-227 Canning Street,Carlton,Dan O'Connell Hotel,100,"(-37.79303229, 144.9733817)"
2017,803,111175,110477,8 Whiteman Street,Southbank,Co,560,"(-37.82312164, 144.9586604)"
2017,67,102200,102200,12-14 Corrs Lane,Melbourne (CBD),Fad Gallery,80,"(-37.81123016, 144.9684328)"
2017,14,103947,103947,317-323 Flinders Lane,Melbourne (CBD),Sebel Melbourne - Flinders Lane,60,"(-37.81771479, 144.9637238)"
2017,270,664626,104468,230 Grattan Street,Parkville,HJC Bar,200,"(-37.79739836, 144.9612468)"
2017,87,101023,101023,25 Bennetts Lane,Melbourne (CBD),Bennetts Lane Jazz Club,300,"(-37.80889245, 144.967558)"
2017,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Legends Bar,250,"(-37.81656591, 144.9475776)"
2017,43,108068,108068,111-129 Queen Street,Melbourne (CBD),Karstens At CQ,170,"(-37.81581152, 144.9606367)"
2017,803,111175,110477,8 Whiteman Street,Southbank,Crown Entertainment Complex,320,"(-37.82312164, 144.9586604)"
