Census year	Block ID	Property ID	Base property ID	Street address	CLUE small area	Trading name	Industry (ANZSIC4) code	Industry (ANZSIC4) description	Seating type	Number of seats	xcoord	ycoord	Location				
2017	51	105305	105305	187 King Street	Melbourne (CBD)	Hanabishi Japanese Restaurant	4511	Cafes and Restaurants	Seats - Indoor	70	144.9551249	-37.81579101	"(-37.81579101, 144.9551249)"				
2017	378	103824	103824	97-103 Flemington Road	North Melbourne	Avist Cafe	4511	Cafes and Restaurants	Seats - Outdoor	34	144.9527053	-37.79844295	"(-37.79844295, 144.9527053)"				
2017	1108	604124	604124	816-828 Bourke Street	Docklands	Squires Loft Dockland	4511	Cafes and Restaurants	Seats - Outdoor	34	144.943969	-37.81927362	"(-37.81927362, 144.943969)"				
2017	54	108818	108818	19 Somerset Place	Melbourne (CBD)	The Little Mule Cafe	4511	Cafes and Restaurants	Seats - Indoor	45	144.9623885	-37.81379815	"(-37.81379815, 144.9623885)"				
2017	28	102063	102060	45 Collins Street	Melbourne (CBD)	Asian Pavillion	4511	Cafes and Restaurants	Seats - Outdoor	13	144.9726281	-37.81430616	"(-37.81430616, 144.9726281)"				
2017	803	111175	110477	8 Whiteman Street	Southbank	Gochi	4511	Cafes and Restaurants	Seats - Indoor	40	144.9586604	-37.82312164	"(-37.82312164, 144.9586604)"				
2017	67	108582	108582	210-222 Russell Street	Melbourne (CBD)	Ants Bistro	4511	Cafes and Restaurants	Seats - Indoor	70	144.9679947	-37.81132789	"(-37.81132789, 144.9679947)"				
2017	38	108982	108982	93-101 Spring Street	Melbourne (CBD)	Saki Sushi Bar	4512	Takeaway Food Services	Seats - Outdoor	14	144.9731836	-37.81260039	"(-37.81260039, 144.9731836)"				
2017	64	105870	105870	380-384 Little Bourke Street	Melbourne (CBD)	French Saloon	4511	Cafes and Restaurants	Seats - Outdoor	50	144.9613283	-37.81354346	"(-37.81354346, 144.9613283)"				
2017	55	101193	101193	338-352 Bourke Street	Melbourne (CBD)	Gekkazan	4511	Cafes and Restaurants	Seats - Indoor	10	144.9632879	-37.81360425	"(-37.81360425, 144.9632879)"				
2017	11	103986	103986	556-560 Flinders Street	Melbourne (CBD)	Punthill Melbourne Northbank / Mini Bar	4400	Accommodation	Seats - Indoor	18	144.9557665	-37.82061096	"(-37.82061096, 144.9557665)"				
2017	931	110273	110273	Elliott Avenue	Parkville	Village Kiosk	4512	Takeaway Food Services	Seats - Outdoor	54	144.9514349	-37.78428452	"(-37.78428452, 144.9514349)"				
